USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,SOURCE
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463b9a,1636641887,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bac,1636642169,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba6,1636642685,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba8,1636642874,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463baa,1636642902,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb0,1636643046,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bae,1636643190,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb6,1636643223,choice,mobile
6188c1ed58e0fca32c15788a,617d8aff43d8636b2c46398a,1638386662,choice,mobile
6188c1ed58e0fca32c15788a,617d8aff43d8636b2c46398e,1638386837,choice,mobile
6188c1ed58e0fca32c15788a,617d8aff43d8636b2c463990,1638387508,choice,mobile
6188c1ed58e0fca32c15788a,617d8aff43d8636b2c463996,1638387703,choice,mobile
6188c1ed58e0fca32c15788a,617d8aff43d8636b2c463998,1638388086,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0c43d8636b2c463b8d,1638388090,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0c43d8636b2c463b98,1638388094,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463b9c,1638388096,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463b9e,1638388098,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba2,1638388100,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba0,1638388101,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb4,1638388106,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bac,1638388110,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba6,1638388112,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463ba8,1638388438,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463baa,1638388441,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb0,1638388442,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bae,1638388444,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb6,1638388447,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0c43d8636b2c463b92,1638388456,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bb8,1638388469,choice,mobile
6188c1ed58e0fca32c15788a,617d8b0d43d8636b2c463bba,1638388471,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e01,1638388479,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463df9,1638388480,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e0c,1638388482,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e15,1638388483,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e13,1638388484,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e0a,1638388485,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e1e,1638388487,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e29,1638388488,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e24,1638388489,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e20,1638388490,choice,mobile
6188c1ed58e0fca32c15788a,617d8b6e43d8636b2c463e27,1638388492,choice,mobile
